Aatrox,50.06%,139500,2.05,159.13,10.569
Ahri,50.38%,142437,2.44,148.80,10.366
Akali,47.25%,179940,2.11,144.73,10.558
Akshan,50.24%,253714,2.16,160.61,11.927
Alistar,50.71%,157476,2.49,31.87,7.284
Amumu,52.54%,224966,2.44,100.17,9.408
Anivia,50.54%,114653,2.42,152.06,10.799
Annie,51.69%,45632,2.34,126.86,10.398
Aphelios,48.27%,193618,2.11,185.23,11.542
Ashe,51.90%,594201,2.53,167.40,10.943
Aurelion Sol,50.76%,14132,2.43,149.32,10.222
Azir,46.51%,52883,1.98,172.53,10.762
Bard,49.54%,36371,2.72,28.18,7.849
Blitzcrank,52.25%,315534,2.5,32.67,7.596
Brand,51.74%,114147,1.89,72.87,9.811
Braum,51.11%,71637,2.83,32.16,7.327
Caitlyn,48.80%,300610,2.24,182.94,11.577
Camille,50.73%,236124,2.04,151.13,10.675
Cassiopeia,50.70%,104946,2,182.34,11.490
Cho'Gath,48.85%,38386,2.14,149.60,10.515
Corki,51.94%,25472,2.36,189.82,12.184
Darius,49.21%,148597,1.82,170.51,11.312
Diana,49.41%,206693,2.31,164.26,11.374
Dr. Mundo,49.65%,68088,2.25,158.44,10.456
Draven,49.25%,61771,2.16,181.11,12.354
Ekko,50.89%,327618,2.67,156.71,11.273
Elise,50.59%,104792,2.64,124.90,10.342
Evelynn,50.28%,100875,2.83,133.73,11.100
Ezreal,48.66%,858504,2.53,178.20,11.346
Fiddlesticks,50.94%,85580,2.56,135.66,10.317
Fiora,51.05%,241307,1.77,172.97,11.521
Fizz,49.94%,79075,2.43,150.80,10.981
Galio,49.70%,125870,2.48,98.28,8.805
Gangplank,46.05%,60590,2,186.31,11.981
Garen,50.41%,161419,2.12,172.67,11.528
Gnar,50.19%,79201,2.05,162.34,10.559
Gragas,48.61%,67417,2.49,115.40,9.483
Graves,50.45%,320581,2.43,186.63,12.097
Gwen,46.63%,82152,1.69,170.52,11.052
Hecarim,48.20%,66023,2.74,153.28,11.201
Heimerdinger,51.03%,68514,1.7,156.16,10.727
Illaoi,50.44%,68460,1.51,186.10,11.369
Irelia,51.14%,477684,1.76,206.78,12.579
Ivern,47.78%,17390,2.92,110.60,8.637
Janna,49.97%,46340,2.76,18.78,7.625
Jarvan IV,51.81%,381975,3.29,135.64,10.782
Jax,50.44%,167167,1.79,163.17,11.273
Jayce,48.10%,173762,1.8,183.63,11.484
Jhin,50.97%,354188,2.93,178.15,11.783
Jinx,49.74%,239605,2.42,189.80,11.587
Kai'Sa,48.85%,375277,2.49,192.04,12.173
Kalista,47.90%,73668,1.99,187.60,11.847
Karma,47.80%,148867,2.47,36.86,7.976
Karthus,49.80%,77307,2.39,180.70,12.130
Kassadin,49.01%,100873,2.33,164.26,11.084
Katarina,50.02%,198539,2.24,146.02,11.408
Kayle,50.57%,46328,1.83,193.59,11.555
Kayn,49.64%,229636,2.34,161.16,11.466
Kennen,50.70%,175239,2.06,154.56,10.400
Kha'Zix,50.78%,126573,2.51,149.67,11.466
Kindred,50.76%,179512,2.28,158.80,11.578
Kled,52.82%,49747,2.45,150.15,11.049
Kog'Maw,50.65%,53693,2.24,185.64,11.925
LeBlanc,49.51%,317108,2.82,135.11,10.379
Lee Sin,49.84%,600737,2.82,140.98,11.076
Leona,51.57%,306417,2.39,33.41,7.406
Lillia,51.96%,176559,2.28,174.54,11.198
Lissandra,50.39%,59857,2.32,161.95,10.440
Lucian,47.72%,387789,2.2,191.45,11.939
Lulu,49.90%,327483,2.91,21.83,7.433
Lux,49.08%,373310,2.34,65.88,9.123
